ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,key,pcode_ch,nom_fichier,pcode_fichier,prov_fichier,ch_p3_pct_max_2024_2026,asi_2024,asi_2025,asi_2026,asi_max_2024_2026,asi_raw_max_2024_2026,bio_2024,bio_2025,bio_2026,bio_min_2024_2026,bio_raw_min_2024_2026,asi_trend_pts_per_yr,bio_trend_pct_per_yr,bio_baseline_kgha,asi_unit_fao,population_ch_2026,ch_p3_pct_cur_2026,ch_p3_pct_proj_2026,ch_p3_pop_proj_2026,ch_phase_max_2024_2026,ch_n_analyses,score_ch,score_asi,score_bio,zone_saharienne,indice_secheresse,rang,categorie,indicateur_secheresse,zone_aa,notes
Logone Occidental,TD08,Ngourkosso,TD0804,ngourkosso,TCD0804,Ngourkosso,TCD0804,LOGONE OCCIDENTAL,34.0,25.620164767331453,72.24204017094019,69.5232489078823,72.24204017094019,68.86422222222222,97.8078152801312,90.343796812443,92.39159612326252,90.343796812443,79.08411815584256,-0.2502087369420704,-0.9231959473552164,3451.4714694046475,Logone Occidental,288814.0,25.0,34.0,98196.76,3.0,8.0,0.8,1.0,0.1931240637511399,Non,0.6779372191253421,11,Très élevé,1,Non,
Barh-El-Gazel,TD19,Barh-El-Gazel Sud,TD1901,barhelgazelsud,TCD1901,Barh El Gazel Sud,TCD1901,BARH EL GAZEL,32.00020080657307,14.213792429792289,15.35089582417559,21.635999218559345,21.635999218559345,5.148000000000001,145.50074003729702,142.4055211240091,63.95202286069319,63.95202286069319,74.96199460035362,-1.1371033943833944,1.187309426462781,682.9976208004806,Barl El Gazal,256393.0,14.000000000000002,23.0,58970.39,3.0,8.0,0.7333400268857689,0.5408999804639836,0.7209595427861362,Non,0.6718938677293436,12,Très élevé,1,Oui,Orthographe fichier HNRP : Barh El Gazel Sud
Batha,TD01,Fitri,TD0103,fitri,TCD0103,Fitri,TCD0103,BATHA,27.999896595403666,13.806048229547969,14.881063516483602,19.800935946275924,19.800935946275924,3.817571428571429,111.452093562418,122.20641627178766,53.92833139630685,53.92833139630685,62.79739156645601,-1.1023010012210013,1.1342077647170363,1543.814347658654,Batha Ouest,200324.0,21.0,27.0,54087.48,3.0,8.0,0.5999965531801222,0.4950233986568981,0.921433372073863,Non,0.6649356524912773,13,Très élevé,1,Oui,
Lac,TD07,Fouli,TD0704,fouli,TCD0704,Fouli,TCD0704,LAC,32.00053865403822,2.744113010446334,3.7307220512820463,8.341664425451091,8.341664425451091,5.995111111111111,116.10148260470328,83.39408611041496,40.960906329971245,40.960906329971245,46.48667480111261,-0.1618312630579297,0.9303687708919952,610.4839096490384,Lac,93022.35,22.0,27.0,25116.0345,3.0,8.0,0.7333512884679407,0.2085416106362772,1.0,Non,0.6559029985780596,14,Très élevé,1,Oui,
Wadi Fira,TD17,Mégri,TD1704,megri,TCD1704,Megri,TCD1704,WADI FIRA,28.002894356005783,11.429069088318975,12.722227948717864,14.391386809116756,14.391386809116756,1.1336666666666666,171.4728597583213,139.2674271335522,37.65380929533927,37.65380929533927,63.61788921223695,-0.914325527065527,4.755498141291688,258.25468075400636,Biltine,37059.0,12.0,14.000000000000002,5188.26,3.0,8.0,0.6000964785335262,0.3597846702279189,1.0,Non,0.6479739924817862,15,Très élevé,1,Oui,Orthographe fichier HNRP : Megri
Wadi Fira,TD17,Biltine,TD1701,biltine,TCD1701,Biltine,TCD1701,WADI FIRA,27.0001014081749,11.429069088318975,12.722227948717864,14.391386809116756,14.391386809116756,1.1336666666666666,135.77641445880198,153.73158210713808,41.96919250795169,41.96919250795169,55.02565394937711,-0.914325527065527,2.145491878309196,352.65656749278855,Biltine,306737.0,2.0,15.000000000000002,46010.55,3.0,8.0,0.5666700469391633,0.3597846702279189,1.0,Non,0.634603419844041,16,Très élevé,1,Oui,
Batha,TD01,Batha Est,TD0102,bathaest,TCD0102,Batha Est,TCD0102,BATHA,25.99994302769804,9.847720012628477,10.63131287267204,15.0986234501093,15.0986234501093,3.71956850314323,134.25949289148318,140.0449818151657,45.68453426217142,45.68453426217142,51.246913862804114,-0.7847624101355841,0.839698581688684,843.7676587692308,Batha Est,327228.0,21.000000000000004,25.0,81807.0,3.0,8.0,0.5333314342566012,0.3774655862527325,1.0,Non,0.6265722495784602,17,Très élevé,1,Oui,
Ouaddaï,TD14,Assoungha,TD1403,assoungha,TCD1403,Assoungha,TCD1403,OUADDAÏ,29.000120033609413,10.851858567358404,13.429578681318691,16.56158450956447,16.56158450956447,3.9734285714285713,100.34052041219032,119.59896504342562,59.73973181512129,59.73973181512129,59.73883274382117,-0.8681486853886854,-0.0001037917569521,1512.6334136722755,Assongha,518284.0,12.0,21.0,108839.64,3.0,8.0,0.6333373344536471,0.4140396127391117,0.8052053636975742,Non,0.6191084267124647,18,Très élevé,1,Oui,
Logone Oriental,TD09,La Pendé,TD0901,pende,TCD0901,La pendé,TCD0901,LOGONE ORIENTAL,31.000055261849063,33.16706030389363,50.356829572649566,60.55726550807214,60.55726550807214,59.50533333333333,94.27530609406452,96.08673417685245,98.04032217057868,94.27530609406452,86.4237326271275,-0.0725470465337132,-0.6662676615743313,4370.931042298879,Logone Oriental,291144.0,10.0,12.0,34937.28,3.0,8.0,0.7000018420616354,1.0,0.1144938781187093,Non,0.6143489002602669,19,Très élevé,1,Non,Orthographe fichier HNRP : La pendé
Kanem,TD06,Wadi Bissam,TD0603,wadibissam,TCD0603,Wadi Bissam,TCD0603,KANEM,29.000319795330988,12.940847985348094,14.280115824175716,17.365097948717622,17.365097948717622,2.3537142857142856,147.6089079711237,124.73891613363048,65.54306099122383,65.54306099122383,71.14350465081678,-1.035267838827839,0.5892881533511986,824.0769063974357,Kanem,161935.0,22.000000000000004,28.000000000000004,45341.8,3.0,8.0,0.6333439931776996,0.4341274487179405,0.6891387801755235,Non,0.590317465939119,20,Élevé,1,Oui,
